positiveRatio,price,storeName,title
100%,5558.00,伟德手机专营店,APPLE苹果 iPhone 8 plus 全网通4G手机 金色（256G）金色（256G）
100%,7599.00,顺电手机旗舰店,Apple iPhone XS Max(A2104)苹果移动联通电信4G手机 双卡双待 提供正规发票 深空灰色 64G
97%,3459.00,中益德诚手机专营店,Apple 苹果8 iPhone8 【直降优惠】 手机 深空灰 全网通 64GB深空灰
95%,5399.00,中益德诚手机专营店,苹果XR iPhone XR 【直降】手机 红色 全网通128G（1年碎屏险套装）红色
97%,8059.00,中益德诚手机专营店,Apple 苹果xs iPhone XS 手机 金色 全网通  256GB金色
97%,3798.00,疆界互联旗舰店,Apple （苹果）iPhone 7 Plus (A1661)手机 黑色 全网通（128G ROM）标配黑色
100%,3399.00,信通志远旗舰店,Apple 苹果 iPhone 6sPlus 智能拍照手机 移动联通电信4G 金色 全网通128GB金色
87%,2996.00,疆界互联旗舰店,Apple （苹果） iPhone 7 (A1660) 手机 玫瑰金色 全网通128G 标配
100%,7099.00,岗隆手机专营店,Apple iPhone XS (A2100)  移动联通电信4G手机 深空灰色 64GB深空灰色
98%,7998.00,炜东电商旗舰店,Apple 苹果xs iphone xs 手机 银色 全网通256G银色
97%,3358.00,炜东电商旗舰店,Apple 苹果8 iPhone8 全网通手机 银色 64G
98%,7388.00,OKSJ手机旗舰店,Apple 苹果 iPhone X 全面屏全网通4G智能手机 银色（256GB）一年碎屏险银色（256GB）一年碎屏险
100%,3399.00,松锐手机专营店,Apple 苹果  iPhone 6s Plus 手机(A1699) 玫瑰金 全网通128G玫瑰金 全网通128G
97%,4268.00,冰之凯盛手机专营店,苹果（Apple） 苹果 iPhone7 Plus 手机【0首付】 金色 全网通 128G（分期）金色
90%,7268.00,伟德手机专营店,APPLE苹果  iPhone X 全面屏手机 全网通版 深空灰色 256GB
98%,6999.00,君问手机旗舰店,【联系客服有优惠】Apple苹果iphoneX手机 深空灰 64G官方标配
98%,8538.00,Apple晨星泰合专卖店,Apple iPhone XS Max 移动联通电信4G苹果手机 金色 256G金色
99%,5688.00,杰凌手机旗舰店,Apple 苹果 iPhone 8 Plus 手机 深空灰色 全网通 256GB深空灰色
98%,7299.00,聚捷联盛手机旗舰店,Apple 苹果 iPhone X手机【苹果大调价，欲购从速】 银色 全网通256G版银色
97%,3999.00,鹏路网络手机旗舰店,Apple iPhone8 移动联通电信4G全网通手机 银色 64GB
98%,8599.00,中益德诚手机专营店,Apple 苹果xsmax iphone XS MAX 【直降优惠】手机 银色 全网通  256G银色
98%,6449.00,华信通手机专营店,Apple 苹果 iPhone XR (A2108)  双卡双待 手机 黄色 全网通 256GB
87%,7499.00,冰之凯盛手机专营店,Apple 苹果 iPhone X手机【0首付】 银色 全网通 256G银色
98%,7285.00,牧申手机旗舰店,Apple 苹果 iPhone X 手机 深空灰色 全网通 256GB
98%,8859.00,爱优创杰手机旗舰店,Apple 苹果iPhone XS Max 4G手机 金色 全网通256G金色
96%,5288.00,杰凌手机旗舰店,Apple 苹果 iPhone XR 手机 红色 全网通 128GB红色
97%,4688.00,Apple晨星泰合专卖店,Apple iPhone 8 移动联通电信4G苹果手机 深空灰色 256G深空灰色
100%,4459.00,爱优创杰手机旗舰店,Apple 苹果iPhone 8 Plus (A1864) 手机 全网通 金色 全网通64G
98%,7599.00,鹏瑶旗舰店,Apple 苹果X iPhoneX 全面屏手机 银色 256G+白条
100%,3899.00,爱优创杰手机旗舰店,Apple 苹果 iPhone7 Plus 手机 全网通 玫瑰金 128G玫瑰金
98%,8699.00,牧申手机旗舰店,Apple 苹果 iPhone XS max 手机 深空灰色 全网通 256G深空灰色
98%,3229.00,世纪金联手机专营店,Apple 苹果 iPhone 6s Plus 全网通4G手机 银色 全网通（128GB）
97%,3478.00,杰凌手机旗舰店,Apple 苹果 iPhone 8 手机 金色 全网通 64GB金色
97%,8219.00,华信通手机专营店,Apple 苹果 iPhone XS (A2100) 手机 深空灰色 全网通 256GB
99%,7299.00,华信通手机专营店,Apple 苹果 iPhone X (A1865) 手机 深空灰色 全网通 256GB
99%,6829.00,鹏瑶旗舰店,Apple 苹果 iPhoneXS 手机 银色 全网通 64G
98%,5299.00,鹏路网络手机旗舰店,Apple iPhone 苹果 XR全网通 手机 白色 64GB
98%,4869.00,京联通达旗舰店,Apple 苹果 iPhone8 手机 苹果8 iPhone 8 金色 256GB无线充套装
98%,3858.00,华信通手机专营店,Apple 苹果 iPhone 8 (A1863) 手机 银色 全网通版 64GB
100%,3129.00,爱优创杰手机旗舰店,Apple 苹果 iPhone7 手机 金色 全网通 128G金色
100%,9099.00,长远通信专营店,Apple 苹果 iPhone XS Max手机 银色 全网通 256G
96%,8269.00,明日数码旗舰店,Apple 苹果 iPhone XS (A2100) 金色 全网通 256GB
99%,8528.00,炜东电商旗舰店,Apple 苹果 iphone xsmax 手机 双卡双待 深空灰 全网通256G深空灰
99%,3819.00,明日数码旗舰店,Apple 苹果8 iPhone8 移动联通电信全网通 4G智能手机 银色 官方标配 64GB
97%,2988.00,佳沪手机旗舰店,Apple 苹果 iPhone7 手机 金色 全网通 128G
50%,7388.00,伟德手机专营店,APPLE苹果 iPhone XS Max 移动联通电信4G手机 双卡双待 银色 64GB银色
98%,8579.00,鹏瑶旗舰店,Apple 苹果 iPhone xs max 手机 双卡双待 金色 全网通 256G
100%,4699.00,沃晟手机专营店,Apple 苹果 iPhone8 Plus 手机 金色 64G
97%,4029.00,君问手机旗舰店,Apple 苹果iPhone7 plus手机 金色 官方标配(全网通128G)
96%,6099.00,鹏路网络手机旗舰店,Apple iPhone8 Plus 移动联通电信4G全网通手机 金色 256GB
100%,3188.00,雍迈手机专营店,苹果 iPhone 6s Plus (A1699) 5.5寸双核 移动联通电信4G手机 玫瑰金 全网通 128G
100%,6288.00,臻云商手机专营店,Apple iPhone 8 Plus（A1864）全新正品全网通4G手机 深空灰 256GB
98%,5699.00,华信通手机专营店,Apple 苹果 iPhone8 Plus (A1864) 手机 深空灰色 全网通版 256GB
97%,7299.00,中国移动手机官方旗舰店,【低至7299元起】苹果iPhoneXS Max 手机 金色 移动4G+版64G
95%,6958.00,OKSJ手机旗舰店,Apple 苹果XS iPhone XS (A2100) 全网通4G手机 银色 64GB
81%,5138.00,优品美手机专营店,Apple /苹果 iPhone XR 全网通4G手机 黑色 64GB
100%,9258.00,臻火旗舰店,Apple iPhone 苹果XS Max【0首付买送无线充电器多重大礼包】 深空灰色 256GB深空灰色
100%,8899.00,世纪金联手机专营店,Apple 苹果XS MAX iPhone XS MAX 手机 金色 全网通256G
100%,5399.00,银河信业专营店,苹果Apple iPhone XR （A2018）全网通智能手机 红色 128GB
98%,2899.00,炜东电商旗舰店,Apple 苹果 iPhone6s Plus 手机 玫瑰金色 128G
97%,5299.00,京联通达旗舰店,苹果Apple iPhone Xr手机 苹果Xr手机 黄色 128GB
100%,9087.00,信通志远旗舰店,Apple 苹果 iPhone Xs Max 手机 双卡双待智能拍照手机 金色 全网通256GB【一年碎屏险】
100%,5399.00,世纪金联手机专营店,Apple 苹果XR iPhoneXR 手机 白色 全网通128G
100%,6858.00,茄子手机旗舰店,Apple iPhone XS 苹果Xs 【送无线充电器+钢化膜】 金色 全网通 64GB
87%,6388.00,汇乐购通讯专营店,Apple/苹果iPhoneXR（A2108）全网通手机电信联通移动三网通双开双待全面屏智能4G手机 白色 256G
100%,8788.00,冰之凯盛手机专营店,Apple 苹果 iphone Xs Max手机【0首付】 深空灰 （分期版）公开64G深空灰
100%,7899.00,众宇通手机专营店,Apple 苹果 iPhone Xs Max 银色 全网通64GB
100%,3188.00,雍迈手机专营店,苹果 iPhone 7 (A1660)  4.7英寸 移动联通电信4G手机 玫瑰金色 全网通 128G
100%,3958.00,千瑞达手机旗舰店,Apple 苹果iPhone7 Plus 全网通4G智能手机 黑色 全网通128G
100%,5058.00,优品美手机专营店,Apple iPhone8 苹果8 全网通4G手机 深空灰色 256GB
100%,7488.00,宏图手机专营店,Apple 苹果 iPhone X 【白条十二期0首付】 深空灰色 256GB
100%,6788.00,伟德手机专营店,APPLE苹果 iPhone XS 手机  全网通 银色 64GB
97%,130.00,坤蓬数码专营店,Apple苹果原装数据线苹果手机iphone5/6s/7/8/x/ipad 充电线正品充电器 Lightning数据线1米 白色
98%,124.00,诺希自营旗舰店,【五年质保】诺希 旗舰MAX 苹果6S电池/iphone6S电池 高容量 苹果电池/手机内置电池更换 吃鸡王者游戏电池旗舰MAXiphone6S
98%,320.00,Apple产品自营旗舰店,Apple iPhone XS 硅胶保护壳/手机壳 黑色黑色
99%,25.00,插画师自营旗舰店,插画师 苹果7/8 Plus手机壳防摔 手机壳iPhone8/7 plus保护套全包 苹果8plus手机壳7p磨砂硬壳简约 锋尚-黑魔力黑【磨砂手感&轻薄亮丽】
97%,39.80,缔造者自营旗舰店,【买二免一】苹果数据线2.4A快充头iPhone7/8plus/xs/ipad缔造者手机充电器线 2.4A牛仔蓝 1.2米
98%,32.00,倍思（Baseus）自营旗舰店,倍思 苹果数据线 充电线手机快充电源usb线 iPhone6s/7Plus/8/x/xsXRmax/ipad带灯款1.5A充电器线 2.28米 黑【苹果数据线】带智能灯款 黑
99%,35.90,网易智造自营旗舰店,网易严选 网易智造 MFi认证 苹果数据线 Xs max/Xr/X/8/7/6手机快充充电器线 1米白 iphone6s/7Plus/8P/ipad标准-白
97%,29.00,PAENQEAR官方旗舰店,PAENQEAR 苹果数据线充电线手机快充电源线 适用于iPhone/XsMax/XR/X/7/8p 1.2米红色+黑色【铝合金不折断-提速99%】1.2米红色+黑色【铝合金不折断-提速99%】
98%,89.00,斐奥旗舰店,【次日达】苹果耳机转接头iPhoneXSMAX/XR/X/8/6s/7plus二合一音频线转换器 充电听歌线控语音四合一【双Lightning】黑色
98%,27.90,ESCASE自营旗舰店,ESCASE 苹果数据线充电线2m米加长充电器线快充适用正品原装手机iphone/苹果6/7p/8p/xr/mfi/apple直头 Ci9白【快充2.6A抗干扰直】2米加长
98%,49.00,ESR自营旗舰店,亿色（ESR） iPhone7/8 plus手机壳防摔 苹果8/7 Plus手机壳透明硬套创意（玻璃背板+TPU边）琉璃-剔透白全透明【原机玻璃&冰晶透亮】
98%,21.50,闪魔旗舰店,闪魔 iphone7/6s/6/8钢化膜 苹果7/6s/8手机膜 9D高清全屏全玻璃防蓝光手机贴膜 8/7/6/6s【加强版^抗指纹非全屏】2片送神器8/7/6/6s【加强版^抗指纹非全屏】2片送神器
96%,89.00,倍思（Baseus）自营旗舰店,倍思(Baseus)苹果6电池大容量电池适用苹果六iPhone6手机电池内置电池原容量iphone6手机电池更换 1810毫安【iPhone6】 质量加强 1810mAh
97%,38.00,倍思（Baseus）自营旗舰店,倍思（Baseus）苹果7plus/8plus钢化膜 iPhone8p/7plus手机保护膜 全屏曲面高清防爆不碎边全玻璃贴膜 黑色8p/7p 【9D曲面全玻璃】高清 黑
96%,49.90,禾米配件专营店,【次日达】苹果耳机有线半入耳式手机耳塞线控耳麦苹果iPhone6/6s/7p/8p/x/iPad 3.5mm圆头接口(iPhone5/6) 维肯原装3.5mm圆头接口(iPhone5/6) 维肯原装
98%,59.00,索弘自营旗舰店,苹果有线耳机入耳式苹果iPhone6/6s/6splus/iPad/5/5s/5c手机耳机线控带麦 3.5mm圆接口ipad air耳机索弘原装正品
98%,59.00,索弘自营旗舰店,苹果有线耳机入耳式苹果iPhone6/6s/6splus/iPad/5/5s/5c手机耳机线控带麦 3.5mm圆接口ipad air耳机索弘原装正品
93%,188.00,JQJQ手机配件自营旗舰店,JQJQ1.0苹果6屏幕总成 iphone6屏幕手机液晶屏内外屏维修更换 白色(带配件)苹果6屏幕白色
99%,65.00,绿联旗舰店,绿联苹果耳机转接头MFi认证通用iphone7/8P/X/XR/XSMax音频转换头U盾转换器数据线 lightning转3.5MM音频转接线
98%,88.00,绿联旗舰店,绿联 PD3.0充电器18W快充头适用iPhone8/XS/苹果X华为P30三星小米9手机数据线插头 Type-C转Lightning苹果闪充套装 1米Type-C转Lightning苹果闪充套装 1米
99%,28.00,迪虎（DIHU）自营旗舰店,迪虎（DIHU） 苹果数据线 充电线iPhone6s/X/7/8plus/Xs Max/XR手机ipad加长快速充电器线布料 1.2米 黑色黑色
96%,9.90,KOOLIFE自营旗舰店,KOOLIFE 苹果8/7手机壳 iphone7/8手机壳 苹果8保护套 透明保护套/TPU外壳 防摔全包轻薄软壳透明壳
98%,29.90,Snowkids自营旗舰店,Snowkids MFi认证 苹果数据线XsMax/XR/X/8/7手机快充充电器线USB电源线iphone5/6s/7Plus/ipad苹果原装端子标准白1.2米
97%,26.00,耐尔金专卖店,耐尔金 iPhone8/7/苹果8/7手机壳 TPU透明软套/保护套/手机套 灰色灰色
98%,59.80,SPIGEN自营旗舰店,SPIGEN iPhone XR手机壳苹果xr保护套 全包边双料组合硅胶防摔防指纹TPU软壳潮牌手机壳 太空灰太空灰
96%,15.90,依斯卡(ESK)自营旗舰店,依斯卡(ESK) iPhone5S/5C/5/SE钢化膜 一体全玻璃 防爆淡指纹 苹果5S/5C/5/SE钢化膜 高清手机贴膜 JM120【3倍增强】高清钢化膜0.28mm
98%,58.00,元里方手机配件旗舰店,【美国进口电芯】元里方 苹果6手机电池 适用于iphone6/6s plus/6p六代内置大容量电池 苹果6电池【大容量2220mAh】苹果6电池【大容量2220mAh】
98%,105.00,泰火数码专营店,【自营仓次日达】超薄苹果X充电宝大容量iphone7背夹电池移动电源手机壳6/8plus/xsmax 6sp/7p/8p大屏5.5【数显版】8000毫安6sp/7p/8p大屏5.5【数显版】8000毫安
99%,59.00,ZMI自营官方旗舰店,ZMI 紫米MFi认证苹果数据线编织线手机充电线支持iphone6s/7/7P/8/8P/X/XS/XR/X MAX/SE/ipad AL803红色MFI认证编织线1米红色
97%,10.90,酷波自营旗舰店,酷波苹果XS Max/XR/8/7/6/5s数据线充电线USB电源线Lighting手机连接线支持iphone5/6s/7Plus/SE/ipad等 2米2米白色
98%,19.90,蜂翼自营旗舰店,【2件装】蜂翼 苹果XSMax/XRX/8/7/6s数据线 1.2米白色 快充手机充电器线电源线 iPhone7Plus/ipad air mini【2件装】1.2米
100%,24.00,品色手机专营店,品胜苹果数据线锌合金iPhone7 plus/6s/5/8/x五六七八 se ipad充电线 中国红 0.3m【充电宝专用短线】中国红 0.3m【充电宝专用短线】
98%,58.00,东来也自营旗舰店,东来也 苹果iPhone6plus/6splus手机壳+挂绳+手机支架 玻璃保护套国潮原创个性创意全包软边 pandaQ【pandaQ】送挂绳+支架+壁纸
91%,45.80,金合辉手机配件专营店,【次日达】苹果耳机入耳式有线手机耳塞线控支持苹果iPhone6/6s/6p/7/8/x/iPad 3.5mm接口适用原装正品插孔iphone6/6s3.5mm接口适用原装正品插孔iphone6/6s
99%,398.00,UAG自营旗舰店,UAG 苹果iPhone Xs Max (6.5英寸)防摔手机壳/保护壳 尊贵系列 限量碳纤黑限量版-尊贵碳纤黑
98%,99.00,绿联旗舰店,绿联PD充电器30W充电头适用任天堂苹果MacBook/iPhoneX/XS/XR/8手机数据线插头 苹果闪充套装30W（仅适用于苹果手机）苹果闪充套装30W（仅适用于苹果手机）
98%,12.90,ESCASE自营旗舰店,ESCASE 手机挂绳 挂脖/手机支架适用苹果iPhone6s/7/8Plus/X华为三星魅族oppo/vivo手机壳挂绳长款 i8+蓝色【长款带支架功能】蓝色
95%,19.90,卡培登（KPD KEEP PURSUING DREAMS）自营旗舰店,卡培登 苹果手机耳机耳塞式有线 线控耳机 适用于苹果iPhone5/6/6plus 3.5mm圆孔插头 白色 两件装
97%,121.00,帆睿数码旗舰店,帆睿 苹果6屏幕总成iphone6 5s 7代6splus六6sp七内外屏8p液晶显示换屏手机屏维修 适用于苹果6屏幕总成（4.7白色） 带配件 适用于苹果6屏幕总成（4.7白色）
99%,29.90,纯孩子官方旗舰店,【次日达】苹果数据线 OKSJ原装快充电器线手机电源线iPhone6s/7Plus/XS/8iPad 手机平板通用-白色【买一送一】OKSJ原装好货
93%,34.90,品胜数码旗舰店,品胜苹果数据线智能断电抗折断充电线 锌合金接头编织线 带呼吸灯适用于iphone8/9/x/xr 苹果智能断电&魔幻黑&1.2米
95%,12.00,驰典旗舰店,苹果6钢化膜iphone6plus全屏i6s防摔6splus全包边6SP护眼蓝光6P刚化i6手机贴膜 6/6S 4.7【高清版】全屏防指纹【2片装】6/6S 4.7【高清版】全屏防指纹【2片装】
95%,16.80,梵帝西诺（VDSN）自营旗舰店,梵帝西诺 苹果数据线Xs Max/XR/X/8/7手机快充充电器线USB电源线1米 支持iphone5/6s/7Plus/ipad F1黑色【强韧不断款】胶丝材质 黑色
97%,19.90,KEKLLE自营旗舰店,KEKLLE 苹果7Plus/8plus手机壳防摔 iPhone8Plus/7Plus手机壳 全包硬壳保护套磨砂男女通用款 5.5英寸 绅士黑【硬壳磨砂款】绅士黑
